,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.5978000164,0.0448000431061,0.656570036798,0.865052986763,0.1,5,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,0.662422197603,0.861452708243,0.683619346796,0.864087858222,0.67396325049,0.864834367597,0.59655426616,0.86447094975,0.66629340221,0.870419050006,0.078840069457,0.00515364345843,0.0308709398488,0.00293512094051
1,11.7515999794,0.0533999443054,0.649833963747,0.932613314935,0.1,7,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 7}",2,0.642338803636,0.929715298776,0.689785349313,0.932393667587,0.674849832055,0.932056213953,0.593495599698,0.933954102563,0.648699968213,0.934947291799,0.0671672307907,0.000799942016602,0.033026162018,0.00178898091584
2,21.1277999878,0.0691999912262,0.628740183228,0.973893735866,0.1,9,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 9}",4,0.626123646433,0.973579599483,0.65824101891,0.973973681003,0.64317376851,0.973783368327,0.585862032969,0.973607259813,0.630300815151,0.974524770706,0.497170965987,0.0026381165008,0.0241933128385,0.00034569564198
3,39.1367999554,0.100999927521,0.62893649536,0.992189507693,0.1,11,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 11}",3,0.618448818985,0.992387363346,0.649928183969,0.992000297572,0.660775268945,0.991987970317,0.569256504256,0.991894249602,0.646277765642,0.992677657628,1.38344170926,0.00993979408167,0.0329452721311,0.000296995738105
4,72.5728000164,0.134799957275,0.622035067448,0.998082703712,0.1,13,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 13}",5,0.618898460648,0.998028483747,0.648530085513,0.998033070338,0.643854391628,0.998163423366,0.569140694238,0.99805224707,0.629753514508,0.998136294039,2.19587407796,0.00770453528088,0.0284445848298,5.60686529533e-05
5,136.686599922,0.173800086975,0.616264488976,0.999567755812,0.1,15,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 15}",6,0.612658466054,0.999641989525,0.642386753405,0.999483854994,0.639446699395,0.999632583918,0.560809607341,0.99954155544,0.626023206242,0.999538795183,3.68725542982,0.00923908603509,0.029676426875,6.04613138075e-05
0,4.98340001106,0.0365999698639,0.646353812053,0.822470377171,0.1,4,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 4}",3,0.632910984175,0.823928222346,0.687824551727,0.818986794319,0.655628561696,0.821144574205,0.600223653908,0.822270872097,0.655183378514,0.826021422887,0.0488533114277,0.00241657216309,0.0289574994552,0.00239449967613
1,6.71019992828,0.0434000015259,0.656570036798,0.865052986763,0.1,5,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 5}",2,0.662422197603,0.861452708243,0.683619346796,0.864087858222,0.67396325049,0.864834367597,0.59655426616,0.86447094975,0.66629340221,0.870419050006,0.105277588102,0.00344085531925,0.0308709398488,0.00293512094051
2,8.97260007858,0.05,0.660088472362,0.902266242839,0.1,6,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",1,0.663204980737,0.901754506965,0.694502145178,0.901352929646,0.670641576508,0.900213511869,0.613284370238,0.901899735804,0.658808989226,0.906110529909,0.165983876765,0.0055856326412,0.0264492198846,0.00201109868039
0,9.35760006905,0.0633999347687,0.660088472362,0.902266242839,0.1,6,sqrt,1e-07,1,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",11,0.663204980737,0.901754506965,0.694502145178,0.901352929646,0.670641576508,0.900213511869,0.613284370238,0.901899735804,0.658808989226,0.906110529909,0.250510351973,0.0143192556159,0.0264492198846,0.00201109868039
1,7.09679999352,0.0458000183105,0.655239722439,0.83094618941,0.1,6,sqrt,1e-07,1,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",18,0.65311912487,0.828747931506,0.714726658556,0.823507027427,0.660472328297,0.827022101087,0.583510673755,0.838071814382,0.664371967423,0.837382072646,0.107052149729,0.00213539485788,0.041950971331,0.00579253074676
2,6.49239993095,0.0427999973297,0.649423987183,0.810049860969,0.1,6,sqrt,1e-07,1,402,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 402, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",27,0.647171536547,0.808268725733,0.69978703323,0.804000465539,0.667836406344,0.811623242566,0.574841486591,0.814161717597,0.657485362884,0.812195153408,0.0300505915503,0.000748404683283,0.0412515356209,0.0035707926856
3,6.4006000042,0.043199968338,0.649522206717,0.793417281947,0.1,6,sqrt,1e-07,1,602,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 602, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",26,0.637966905766,0.792154102478,0.701900807886,0.783503211088,0.656632369725,0.789193308271,0.587086916957,0.806523710223,0.664027433446,0.795712077677,0.0665510211984,0.00203960025014,0.0375138503294,0.00767816288694
4,6.21100001335,0.0415999412537,0.63866315078,0.785511967194,0.1,6,sqrt,1e-07,1,802,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 802, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",36,0.645221673446,0.783351636131,0.691287676856,0.77793913458,0.650078644488,0.784090692674,0.551918494638,0.794947380716,0.654813050197,0.787230991868,0.0712937646085,0.00195959090295,0.0463218413328,0.00558599891724
5,6.06119999886,0.0417999744415,0.641932462336,0.77671716698,0.1,6,sqrt,1e-07,1,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",35,0.630968724502,0.771895319103,0.698200181575,0.769691384092,0.646629998374,0.773009963155,0.565160559461,0.786392581291,0.668709124531,0.782596587262,0.0229555312762,0.000979802753293,0.0445410783664,0.00655036529181
6,7.4732000351,0.0453999996185,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",1,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.0994653819291,0.000489901382448,0.0307588823282,0.00571624329971
7,6.92620005608,0.0490000247955,0.660093147779,0.794654255323,0.1,6,sqrt,1e-07,21,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",10,0.65439118422,0.798757105074,0.704612021611,0.787363538641,0.668311572826,0.79059086836,0.595108983492,0.802595166603,0.678046185147,0.793964597936,0.104166006842,0.00817303022248,0.0364073436068,0.00547782326659
