,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,7.41420001984,0.163199996948,0.404601136227,0.437322091896,4,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 4}",7,0.391168373993,0.438318797537,0.401750731313,0.429872657572,0.410304442297,0.434023358849,0.388757212873,0.451284752106,0.431031116151,0.433110893415,0.142738126003,0.00193908878588,0.015300695979,0.00748410591021
1,10.8185999393,0.192200040817,0.502841399934,0.577423946328,6,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 6}",6,0.495894834181,0.596314075885,0.500661322911,0.559176857761,0.518300665115,0.571435499528,0.465793955374,0.579448305156,0.53356342369,0.580744993312,0.141306139279,0.00396990400371,0.0228396730137,0.0121719522894
2,14.2480000973,0.229599952698,0.566762771799,0.692308918755,8,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 8}",5,0.551561015927,0.701776438047,0.583227830776,0.68798766003,0.582135346284,0.684625824283,0.522372864989,0.691046849537,0.594523308413,0.696107821879,0.051349713186,0.0019596249671,0.0263803005965,0.00605576787612
3,17.5819999695,0.271000051498,0.603556004092,0.774357453657,10,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",4,0.589811800775,0.778871605915,0.622109251948,0.772081086068,0.621620465827,0.769098370921,0.557746570281,0.774821172418,0.626497309337,0.776915032965,0.140021470821,0.00701425224089,0.0263981006946,0.00346333995536
4,20.9830000877,0.324999952316,0.624228196652,0.834280897889,12,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 12}",3,0.611368351277,0.839201539345,0.644231267486,0.832021934758,0.641915768703,0.829521157521,0.57543092128,0.834757395186,0.648200293852,0.835902462635,0.312891612852,0.0126015328038,0.0276919816883,0.00331141290188
5,23.8147999763,0.353000020981,0.630801254725,0.873646238341,14,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 14}",2,0.618941711476,0.874934567176,0.645564260893,0.871531506043,0.649517089009,0.870315743806,0.583588015824,0.874270826993,0.656401197349,0.877178547685,0.356376961519,0.00836663788117,0.0268079816504,0.00245321821336
6,28.0536000252,0.403199958801,0.634205420944,0.902311319488,16,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 16}",1,0.622072626154,0.903939129132,0.654967291686,0.900917868663,0.650254836595,0.89894927788,0.585209445979,0.903871595754,0.658528605945,0.90387872601,0.343654932399,0.00915205043497,0.0276698659511,0.0020389221883
0,26.4638000011,0.399000024796,0.636426412913,0.903435652889,16,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 16}",1,0.629931812566,0.90531375993,0.647352969584,0.900639166593,0.657398207754,0.901072344856,0.590807480653,0.905091582044,0.65664633379,0.905061411023,0.672467470627,0.029792745934,0.0248651037658,0.00211272513118
1,29.7718000412,0.434599924088,0.636095153404,0.922066496817,18,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 18}",3,0.632258689346,0.924279959487,0.650562463635,0.920836113067,0.65057492393,0.918484634787,0.591931270976,0.924962294941,0.655152886488,0.921769481806,0.490964890366,0.0280898766309,0.0234408815675,0.00235443672493
2,32.3800000668,0.488199949265,0.636096029007,0.933600183912,20,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",2,0.626302528249,0.935202346574,0.652745117229,0.931296301361,0.653510172214,0.932548595802,0.591948445692,0.934437492302,0.655978542344,0.934516183523,1.02714557771,0.0435862485741,0.0245793798988,0.00145057079692
0,25.1323999882,0.377599954605,0.631515111105,0.888996879624,15,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 15}",3,0.624857488265,0.89252203284,0.6490259012,0.885295816919,0.650384726873,0.885889199495,0.584471293051,0.891474700916,0.648840207337,0.889802647951,0.516762867166,0.013078248855,0.0253786307955,0.00291791388076
1,26.3300000191,0.376800012589,0.63462121709,0.902654214339,16,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 16}",2,0.623717288001,0.903997637925,0.646003973693,0.900193720601,0.655258078781,0.901145362997,0.590277358687,0.903998148464,0.657854832519,0.903936201707,0.681651230919,0.0149183916093,0.0252211979,0.00164833851377
2,27.215199995,0.385199975967,0.638876751965,0.912966874574,17,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",1,0.63100321409,0.915431409073,0.658890386054,0.912014780023,0.657262903428,0.90983972701,0.590175881263,0.915070683793,0.65705563633,0.912477772971,0.151019680771,0.0079094331657,0.0264685553679,0.00207000965351
0,27.7499999523,0.391800069809,0.639391694045,0.913542440344,17,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",1,0.632032212569,0.916422155724,0.654485139776,0.909593276296,0.651739623318,0.911920909701,0.595574628768,0.915879550506,0.663132430898,0.913896309494,0.453151200587,0.00851821078695,0.0241578472059,0.00253398209381
1,16.8357999802,0.242600011826,0.528832723691,0.584599014874,17,sqrt,1e-07,1,202,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 202, 'max_features': 'sqrt', 'max_depth': 17}",3,0.505408641791,0.582935535383,0.534137348474,0.575352081678,0.537133672273,0.58891437449,0.506136752761,0.594074146266,0.561354826716,0.581718936554,0.0779317016932,0.00249803957702,0.0210636310007,0.00640262808842
2,14.1334000587,0.211599969864,0.486245750367,0.521091925591,17,sqrt,1e-07,1,402,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 402, 'max_features': 'sqrt', 'max_depth': 17}",9,0.472730148839,0.526279973475,0.485859440502,0.511946994689,0.493286581313,0.528102217237,0.465605222827,0.528077110077,0.513753806561,0.511053332476,0.0938564545182,0.000489901382448,0.0168226485086,0.00786455268981
