,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,25.5456666946,0.162666638692,0.335370899968,0.91542032739,0.6,0,1,5,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 5, 'gamma': 0}",89,0.354103245084,0.923422974354,0.390413892878,0.909913742317,0.261593256423,0.912924265497,0.269560421375,0.00880655059917,0.0542323818062,0.00579065806781
1,24.2696666718,0.157333294551,0.376587633753,0.931851078845,0.6,0,1,5,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 5, 'gamma': 0}",81,0.361992879288,0.936230749443,0.430967883914,0.926797336712,0.336803934334,0.932525150379,0.290381829962,0.00543650767935,0.0398028157917,0.0038805582301
2,24.1909999847,0.167000055313,0.39342754775,0.945842699042,0.6,0,1,5,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 5, 'gamma': 0}",78,0.352271021244,0.951231582122,0.462817020943,0.938223253572,0.36519966648,0.948073261431,0.709548172263,0.012027765947,0.0493473427452,0.00553989827486
3,32.4250000318,0.168333292007,0.271200074462,0.956155868869,0.6,0,1,6,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 6, 'gamma': 0}",97,0.245587737379,0.955860232986,0.305609504077,0.955290927563,0.262406134216,0.957316446057,1.19062928035,0.00419001069884,0.0252806653383,0.000852928963136
4,31.1826666196,0.184000094732,0.291740133106,0.969183646739,0.6,0,1,6,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 6, 'gamma': 0}",94,0.301268733184,0.971914289049,0.341921265092,0.965549941959,0.232029228291,0.970086709209,0.0920373688629,0.0118603160889,0.0453655164905,0.00267555225925
5,30.580666701,0.180333296458,0.391275101969,0.977584836646,0.6,0,1,6,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 6, 'gamma': 0}",79,0.40393595623,0.979418993554,0.414370482406,0.975079607066,0.355517309011,0.978255909319,0.551740395314,0.00169965908175,0.0256401534142,0.00183399794096
6,37.2909998894,0.186666727066,0.189518960377,0.979846986171,0.6,0,1,7,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 7, 'gamma': 0}",142,0.285752395811,0.981342103103,0.195419737345,0.978028985999,0.0873729038596,0.98016986941,0.27153027621,0.00518541106599,0.0810963223515,0.00137170852719
7,36.3056666851,0.195333321889,0.289784582253,0.988464493102,0.6,0,1,7,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 7, 'gamma': 0}",95,0.281669978059,0.988413017224,0.345809107169,0.987691698615,0.241875660253,0.989288763467,0.823074445907,0.00339939609273,0.0428160463629,0.000653014221213
8,35.3963332971,0.188666741053,0.37273920906,0.992894376126,0.6,0,1,7,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 7, 'gamma': 0}",82,0.388287176787,0.992814194609,0.397201433514,0.991991399322,0.332727103282,0.993877534447,0.822809876762,0.0116714509698,0.0285250646616,0.000772095949882
9,50.1636666457,0.256666739782,0.1770088075,0.998150139428,0.6,0,1,9,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.6, 'max_depth': 9, 'gamma': 0}",143,0.208293011553,0.998045294879,0.240248651734,0.998211465322,0.0824809088491,0.998193658084,1.04986172372,0.025486423269,0.0681005448069,7.44918748696e-05
