,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,26.8583999634,0.0620000362396,0.656412014521,0.787552031636,0.8,0,0.1,3,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 3, 'gamma': 0}",3,0.662695780817,0.790203576864,0.708261397869,0.780586208387,0.675586152458,0.784735078489,0.590715444848,0.790803343573,0.644798574286,0.791431950865,0.441058095671,0.00260761996164,0.0388502903244,0.00422169191686
1,43.461400032,0.0854000091553,0.680974891015,0.870487720611,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.692940295147,0.869712633761,0.724745461651,0.867776007629,0.685835967158,0.866043292941,0.619228869684,0.875771618645,0.68212413083,0.873135050077,1.00535805343,0.00233235481879,0.0343419040273,0.00353935067375
2,59.3396000385,0.110399961472,0.660457846135,0.934656478145,0.8,0,0.1,7,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 7, 'gamma': 0}",2,0.685776514096,0.93517781542,0.707655896728,0.934271657754,0.637287745092,0.93273724876,0.610215939081,0.935233915714,0.661353345595,0.935861753076,0.660952785713,0.0017435207224,0.0344408870917,0.00108530571952
3,77.8955999851,0.141400003433,0.645020849288,0.974136529859,0.8,0,0.1,9,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 9, 'gamma': 0}",4,0.645541003955,0.973757620674,0.717078698184,0.973761923498,0.611027414152,0.973648350434,0.600293605147,0.973262633179,0.651164965252,0.976252121508,1.0877155477,0.00287054791638,0.0409556312481,0.0010734658525
0,20.0383999825,0.0590000629425,0.672684566357,0.802445111743,0.8,0,0.1,4,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 4, 'gamma': 0}",3,0.675877785432,0.801630870751,0.720427217373,0.798499066562,0.694818018193,0.800289784612,0.605601601493,0.805941569195,0.666696805693,0.805864267594,0.355506806209,0.00309839295623,0.038251167544,0.00299317682265
1,24.6651998997,0.0648000717163,0.678352834182,0.84228555461,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.201461079006,0.000979724882243,0.0342483483925,0.00347102461331
2,32.8693999767,0.08140001297,0.67328184063,0.877362895575,0.8,0,0.1,6,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 6, 'gamma': 0}",2,0.678791777509,0.877472652015,0.723919745443,0.875951628345,0.675936065617,0.875946845162,0.620117210203,0.878108559305,0.667643082588,0.879334793049,0.771334173859,0.00500397304709,0.0330457978245,0.00130025493574
0,26.1038000107,0.0671999454498,0.678352834182,0.84228555461,0.8,0.0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0.0}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.526046838206,0.00248192390948,0.0342483483925,0.00347102461331
1,26.4730000019,0.0699999332428,0.678352834182,0.84228555461,0.8,0.1,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0.1}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.0586480907719,0.00456073708156,0.0342483483925,0.00347102461331
2,26.3774000168,0.070599937439,0.678352834182,0.84228555461,0.8,0.2,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0.2}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.108082647949,0.00293934335953,0.0342483483925,0.00347102461331
